,,,f,v
1,28,31,64,17
2,28,31,64,17
3,28,31,64,17
4,28,31,64,17
5,28,31,64,17
6,28,31,64,17
7,28,31,64,17
8,28,31,64,17
9,28,31,64,17
10,28,31,64,17
11,28,31,64,17
12,28,31,64,17
13,28,31,64,17
14,28,31,64,17
15,28,31,64,17
16,28,31,64,17
17,28,31,64,17
18,28,31,64,17
19,28,32,68,17
20,28,32,68,17
21,28,32,68,17
22,28,32,68,17
23,28,32,68,17
24,28,32,66,11
25,28,32,66,11
26,28,32,66,11
27,28,32,66,11
28,28,32,66,11
29,28,32,66,11
30,28,32,66,11
31,28,32,66,11
32,28,32,66,11
33,28,32,66,11
34,28,32,66,11
35,28,32,66,11
36,28,32,66,11
37,28,32,66,11
38,28,32,70,17
39,28,32,70,17
40,28,32,70,17
41,28,32,70,17
42,28,32,70,17
43,28,32,70,17
44,28,32,70,17
45,28,32,70,17
46,28,32,70,17
47,28,32,70,17
48,28,32,70,17
49,28,32,70,17
50,28,32,70,17
51,28,32,70,17
52,28,32,70,17
53,28,32,70,17
54,28,32,70,17
55,28,32,70,17
56,28,32,70,17
57,28,32,70,17
58,28,32,70,17
59,28,32,70,17
60,28,32,70,17
61,28,32,70,17
62,28,32,70,17
63,28,32,70,17
64,28,32,70,17
65,28,32,70,17
66,28,32,70,17
67,28,32,70,17
68,28,32,70,17
69,28,32,70,17
70,28,32,70,17
71,28,32,70,17
72,28,32,70,17
73,28,32,70,17
74,28,32,70,17
75,28,32,70,17
76,28,32,70,17
77,28,32,70,17
78,28,32,70,17
79,28,32,70,17
80,28,32,70,17
81,28,32,70,17
82,28,32,70,17
83,28,32,70,17
84,28,32,70,17
85,28,32,70,17
86,28,32,70,17
87,28,32,70,17
88,28,32,70,17
89,28,32,70,17
90,28,32,71,17
91,28,32,71,17
92,28,32,71,17
93,28,32,71,17
94,28,32,71,17
95,28,32,71,17
96,28,31,69,17
97,28,31,69,17
98,28,31,69,17
99,28,31,69,17
100,28,31,69,17
101,28,31,68,17
102,28,31,68,17
103,28,31,68,17
104,28,31,68,17
105,28,31,68,17
106,28,31,68,11
107,28,31,68,17
108,28,31,68,17
109,28,31,68,17
110,28,31,68,17
111,28,31,68,17
112,28,31,68,17
113,28,31,68,17
114,28,31,68,17
115,28,31,68,17
116,28,31,68,17
117,28,31,68,17
118,28,31,68,17
119,28,31,68,17
120,28,31,68,17
121,28,31,68,17
122,28,31,68,17
123,28,31,68,17
124,28,31,68,17
125,28,31,68,17
126,28,31,68,17
127,28,31,68,17
128,28,31,68,17
129,28,31,68,17
130,28,31,68,17
131,28,31,68,17
132,28,31,68,17
133,28,31,68,17
134,28,31,68,17
135,28,31,68,17
136,28,31,68,17
137,28,31,68,17
138,28,31,68,17
139,28,31,68,17
140,28,31,68,17
141,28,31,68,17
142,28,31,68,17
