!def(WIN32),proc,additon,Variable,3
True,proc,additon,Variable,3
!def(WIN32),proc_close,exclusion,Function,3
def(WIN32),proc,exclusion,Variable,3
def(WIN32),proc_close,additon,Function,3
True,proc_close_pipes,additon,Function,3
