"index","pe","weight","avg"
1321,6,6,1
1322,6,6,1
1323,6,6,1
1324,6,6,1
1325,6,6,1
1326,6,6,1
1327,6,6,1
1328,6,6,1
1329,8,8,1
133,5,5,1
1330,9,9,1
1331,7,7,1
1332,7,7,1
1333,6,6,1
1334,6,6,1
1335,6,6,1
1336,6,6,1
1337,6,6,1
1338,6,6,1
1339,7,7,1
134,4,4,1
1340,6,6,1
1341,6,6,1
1342,6,6,1
1343,6,6,1
1344,6,6,1
1345,6,6,1
1346,6,6,1
1347,6,6,1
1348,7,7,1
1349,6,6,1
135,4,4,1
1350,6,6,1
1351,6,6,1
1352,6,6,1
1353,6,6,1
1354,6,6,1
1355,6,6,1
1356,6,6,1
1357,6,6,1
1358,6,6,1
1359,6,6,1
136,4,4,1
1360,6,6,1
1361,6,6,1
1362,6,6,1
1363,6,6,1
1364,6,6,1
1365,6,6,1
1366,6,6,1
1367,6,6,1
1368,6,6,1
1369,6,6,1
137,4,4,1
1370,6,6,1
1371,6,6,1
1372,6,6,1
1373,6,6,1
1374,6,6,1
1375,6,6,1
1376,6,6,1
1377,6,6,1
1378,6,6,1
1379,6,6,1
138,4,4,1
1380,6,6,1
1381,6,6,1
1382,6,6,1
1383,6,6,1
1384,6,6,1
1385,6,6,1
1386,6,6,1
1387,6,6,1
1388,6,6,1
1389,6,6,1
139,4,4,1
1390,6,6,1
1391,6,6,1
1392,6,6,1
1393,6,6,1
1394,6,6,1
1395,6,6,1
1396,6,6,1
1397,6,6,1
1398,6,6,1
1399,6,6,1
14,5,5,1
140,4,4,1
1400,6,6,1
1401,6,6,1
1402,6,6,1
1403,6,6,1
1404,6,6,1
1405,6,6,1
1406,6,6,1
1407,6,6,1
1408,6,6,1
1409,6,6,1
141,4,4,1
1410,6,6,1
1411,6,6,1
1412,6,6,1
1413,6,6,1
1414,6,6,1
1415,6,6,1
1416,6,6,1
1417,6,6,1
1418,6,6,1
1419,6,6,1
142,4,4,1
1420,6,6,1
1421,6,6,1
1422,6,6,1
1423,6,6,1
1424,6,6,1
1425,6,6,1
1426,6,6,1
1427,6,6,1
1428,6,6,1
1429,6,6,1
143,4,4,1
1430,6,6,1
1431,6,6,1
1432,6,6,1
1433,6,6,1
1434,6,6,1
1435,7,7,1
1436,8,8,1
1437,6,6,1
1438,6,6,1
1439,6,6,1
144,4,4,1
1440,7,7,1
1441,14,14,1
1442,7,7,1
1443,10,10,1
1444,7,7,1
1445,7,7,1
1446,7,7,1
1447,7,7,1
1448,7,7,1
1449,7,7,1
145,4,4,1
1450,7,7,1
1451,7,7,1
1452,7,7,1
1453,11,11,1
1454,7,7,1
1455,12,12,1
1456,7,7,1
1457,7,7,1
1458,7,7,1
1459,7,7,1
146,4,4,1
1460,8,8,1
1461,7,7,1
1462,7,7,1
1463,7,7,1
1464,7,7,1
1465,7,7,1
1466,11,11,1
1467,7,7,1
1468,7,7,1
1469,7,7,1
147,13,13,1
1470,12,12,1
1471,7,7,1
1472,7,7,1
1473,10,10,1
1474,7,7,1
1475,7,7,1
1476,7,7,1
1477,7,7,1
1478,7,7,1
1479,7,7,1
148,5,5,1
1480,7,7,1
1481,7,7,1
1482,7,7,1
1483,7,7,1
1484,7,7,1
1485,7,7,1
1486,7,7,1
1487,7,7,1
1488,7,7,1
