def(_DEBUG),
!def(_MSC_VER),
(def(_MSC_VER)&!def(_M_X64)&(!def(_M_X64)|!def(_MSC_VER))),
def(TEST),
(!def(__CYGWIN__)&!def(_MSC_VER)),
def(_MSC_VER),
(def(_M_X64)&def(_MSC_VER)),
True,
!def(__CYGWIN__),
