def(UNIVERSAL),
(def(HAVE_LIBREADLINE)&!def(UNIVERSAL)),
True,
!def(UNIVERSAL),
def(THREATEXT),
!def(HAVE_LIBREADLINE),
def(NO_INLINE),
(!def(UNIVERSAL)&!def(HAVE_LIBREADLINE)),
def(HAVE_LIBREADLINE),
