!def(HAVE_LIBREADLINE),
(def(HAVE_LIBREADLINE)&!def(UNIVERSAL)),
True,
def(UNIVERSAL),
def(NO_INLINE),
def(HAVE_LIBREADLINE),
(!def(UNIVERSAL)&!def(HAVE_LIBREADLINE)),
def(THREATEXT),
!def(UNIVERSAL),
