(def(HAVE_LIBREADLINE)&!def(UNIVERSAL)),
(!def(UNIVERSAL)&!def(HAVE_LIBREADLINE)),
def(UNIVERSAL),
def(HAVE_LIBREADLINE),
!def(HAVE_LIBREADLINE),
!def(UNIVERSAL),
True,
def(THREATEXT),
def(NO_INLINE),
