def(DEBUG3),
def(DEBUG7),
def(DEBUG),
(def(notdef)&def(THREATEXT)),
def(DEBUG4),
True,
def(UNIVERSAL),
def(THREATEXT),
(def(DEBUG)&def(THREATEXT)),
def(DEBUG5),
def(notdef),
def(DEBUG2),
def(DEBUG6),
def(DEBUG1),
!def(UNIVERSAL),
def(NEVER),
