def(DEBUG7),
def(THREATEXT),
def(DEBUG4),
def(DEBUG),
(def(notdef)&def(THREATEXT)),
def(DEBUG2),
def(UNIVERSAL),
def(DEBUG1),
!def(UNIVERSAL),
def(DEBUG3),
def(DEBUG6),
def(DEBUG5),
(def(DEBUG)&def(THREATEXT)),
def(notdef),
True,
def(NEVER),
