(def(notdef)&def(THREATEXT)),
def(DEBUG5),
def(DEBUG7),
True,
def(DEBUG2),
def(DEBUG),
def(notdef),
def(NEVER),
def(DEBUG4),
!def(UNIVERSAL),
def(DEBUG6),
def(DEBUG3),
(def(DEBUG)&def(THREATEXT)),
def(THREATEXT),
def(DEBUG1),
def(UNIVERSAL),
