!def(UNIVERSAL),
(def(HAVE_LIBREADLINE)&!def(UNIVERSAL)),
def(HAVE_LIBREADLINE),
def(THREATEXT),
def(UNIVERSAL),
True,
!def(HAVE_LIBREADLINE),
(!def(UNIVERSAL)&!def(HAVE_LIBREADLINE)),
def(NO_INLINE),
