!def(UNIVERSAL),
def(HAVE_LIBREADLINE),
!def(HAVE_LIBREADLINE),
(def(HAVE_LIBREADLINE)&!def(UNIVERSAL)),
def(UNIVERSAL),
True,
def(THREATEXT),
(!def(UNIVERSAL)&!def(HAVE_LIBREADLINE)),
def(NO_INLINE),
