def(HAVE_LIBREADLINE),
def(NANOSLEEP),
def(THREATEXT),
True,
def(NO_INLINE),
(def(USLEEP)&!def(NANOSLEEP)),
(def(HAVE_LIBREADLINE)&!def(HAVE_READLINE_READLINE_H)),
(!def(NANOSLEEP)&!def(USLEEP)),
(def(NANOSLEEP)|def(USLEEP)),
