def(THREATEXT),
def(DEBUG5),
def(DEBUG3),
def(DEBUG6),
!def(UNIVERSAL),
def(DEBUG),
def(DEBUG7),
(def(DEBUG)&def(THREATEXT)),
def(UNIVERSAL),
True,
def(NEVER),
def(DEBUG1),
def(notdef),
def(DEBUG2),
(def(notdef)&def(THREATEXT)),
def(DEBUG4),
