!def(UNIVERSAL),
def(DEBUG7),
def(DEBUG3),
def(DEBUG6),
True,
def(THREATEXT),
def(NEVER),
def(UNIVERSAL),
def(DEBUG5),
def(notdef),
def(DEBUG),
(def(notdef)&def(THREATEXT)),
def(DEBUG2),
(def(DEBUG)&def(THREATEXT)),
def(DEBUG4),
def(DEBUG1),
