def(DEBUG2),
def(DEBUG6),
def(DEBUG5),
!def(UNIVERSAL),
def(notdef),
def(DEBUG3),
def(DEBUG1),
def(DEBUG),
def(UNIVERSAL),
def(DEBUG4),
def(DEBUG7),
True,
(def(DEBUG)&def(THREATEXT)),
def(NEVER),
def(THREATEXT),
(def(notdef)&def(THREATEXT)),
