def(UNIVERSAL),
!def(UNIVERSAL),
def(HAVE_LIBREADLINE),
!def(HAVE_LIBREADLINE),
def(THREATEXT),
(!def(UNIVERSAL)&!def(HAVE_LIBREADLINE)),
def(NO_INLINE),
True,
(def(HAVE_LIBREADLINE)&!def(UNIVERSAL)),
