!def(UNIVERSAL),
def(DEBUG6),
def(THREATEXT),
def(notdef),
True,
def(NEVER),
(def(notdef)&def(THREATEXT)),
def(DEBUG2),
def(DEBUG),
def(DEBUG5),
def(DEBUG4),
(def(DEBUG)&def(THREATEXT)),
def(DEBUG3),
def(DEBUG7),
def(DEBUG1),
def(UNIVERSAL),
