def(NANOSLEEP),
def(NO_INLINE),
True,
(def(HAVE_LIBREADLINE)&!def(HAVE_READLINE_READLINE_H)),
def(THREATEXT),
(def(NANOSLEEP)|def(USLEEP)),
(def(USLEEP)&!def(NANOSLEEP)),
def(HAVE_LIBREADLINE),
(!def(NANOSLEEP)&!def(USLEEP)),
