def(THREATEXT),
True,
def(NO_INLINE),
def(HAVE_LIBREADLINE),
(!def(UNIVERSAL)&!def(HAVE_LIBREADLINE)),
def(UNIVERSAL),
(def(HAVE_LIBREADLINE)&!def(UNIVERSAL)),
!def(HAVE_LIBREADLINE),
!def(UNIVERSAL),
