def(HAVE_LIBREADLINE),
(def(USLEEP)&!def(NANOSLEEP)),
def(NO_INLINE),
(def(HAVE_LIBREADLINE)&!def(HAVE_READLINE_READLINE_H)),
def(NANOSLEEP),
True,
def(THREATEXT),
(!def(NANOSLEEP)&!def(USLEEP)),
(def(NANOSLEEP)|def(USLEEP)),
