def(DEBUG1),
def(notdef),
def(DEBUG),
def(NEVER),
def(THREATEXT),
def(UNIVERSAL),
def(DEBUG3),
True,
def(DEBUG6),
def(DEBUG4),
def(DEBUG7),
def(DEBUG5),
(def(DEBUG)&def(THREATEXT)),
!def(UNIVERSAL),
def(DEBUG2),
(def(notdef)&def(THREATEXT)),
