(def(HAVE_LIBREADLINE)&!def(UNIVERSAL)),
!def(UNIVERSAL),
(!def(UNIVERSAL)&!def(HAVE_LIBREADLINE)),
True,
def(UNIVERSAL),
def(NO_INLINE),
def(THREATEXT),
def(HAVE_LIBREADLINE),
!def(HAVE_LIBREADLINE),
