def(HAVE_NANOSLEEP),
(!def(HAVE_NANOSLEEP)&!def(HAVE_USLEEP)),
(def(HAVE_NANOSLEEP)|def(HAVE_USLEEP)),
(def(HAVE_LIBREADLINE)&!def(HAVE_READLINE_READLINE_H)),
True,
def(NO_INLINE),
def(HAVE_LIBREADLINE),
(def(HAVE_USLEEP)&!def(HAVE_NANOSLEEP)),
