def(DEBUG5),
(def(notdef)&def(THREATEXT)),
def(DEBUG6),
def(UNIVERSAL),
def(DEBUG3),
(def(DEBUG)&def(THREATEXT)),
def(DEBUG1),
def(THREATEXT),
def(DEBUG4),
!def(UNIVERSAL),
True,
def(DEBUG7),
def(DEBUG2),
def(notdef),
def(DEBUG),
def(NEVER),
