def(NO_INLINE),
(def(HAVE_LIBREADLINE)&!def(UNIVERSAL)),
True,
!def(HAVE_LIBREADLINE),
def(THREATEXT),
!def(UNIVERSAL),
def(UNIVERSAL),
def(HAVE_LIBREADLINE),
(!def(UNIVERSAL)&!def(HAVE_LIBREADLINE)),
