"index","Possible","variabilities","sumFunc","FAdd","FExc","FPar","FTyp","FMod","FEsp","FQua","sumVar","VAdd","VExc","VTyp","VMod","VEsp","VQua"
100,1,1,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0
101,1,1,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0
102,1,1,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0
103,1,1,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0
104,1,1,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0
105,1,1,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0
106,1,1,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0
107,3,3,16,3,0,13,0,0,0,0,1,1,0,0,0,0,0
108,3,2,14,1,0,13,0,0,0,0,0,0,0,0,0,0,0
109,2,1,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0
110,2,1,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0
111,2,1,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0
112,2,1,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0
113,2,1,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0
114,2,1,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0
115,2,1,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0
116,2,1,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0
117,4,3,15,0,1,14,0,0,0,0,0,0,0,0,0,0,0
118,2,1,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0
119,2,1,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0
12,3,2,6,4,0,1,1,0,0,0,12,10,2,0,0,0,0
120,2,1,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0
121,2,1,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0
122,2,1,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0
123,2,1,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0
124,2,1,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0
125,2,1,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0
126,2,1,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0
127,2,1,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0
128,2,1,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0
129,2,1,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0
13,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
130,2,1,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0
131,2,1,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0
132,2,1,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0
133,2,1,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0
134,2,1,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0
135,2,1,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0
136,2,1,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0
137,2,1,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0
138,2,1,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0
139,2,1,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0
14,5,3,12,5,3,4,0,0,0,0,10,2,8,0,0,0,0
140,2,1,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0
141,2,1,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0
142,2,1,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0
143,2,1,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0
144,2,1,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0
145,2,1,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0
146,2,1,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0
147,2,1,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0
148,2,1,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0
149,2,1,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0
15,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
150,2,1,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0
151,2,1,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0
152,2,1,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0
153,2,1,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0
154,2,1,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0
155,2,1,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0
156,2,1,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0
157,2,1,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0
