(!def(__EMX__)&!def(WIN32)),
(!def(USE_XLIB)&def(WIN32)),
def(_WIN64),
def(WIN32),
!def(_WIN64),
def(USE_XLIB),
True,
!def(WIN32),
(!def(USE_XLIB)&!def(WIN32)),
