!def(__APPLE__),
def(HAVE_GTK_MAC),
(!def(USE_LIBPROXY)&!def(USE_SIGACTION)),
def(USE_PLUGIN),
!def(WIN32),
!def(USE_PLUGIN),
True,
def(USE_OPENSSL),
def(_WIN64),
(!def(USE_LIBPROXY)&def(USE_PLUGIN)),
def(WIN32),
!def(_WIN64),
(!def(USE_LIBPROXY)&!def(USE_SIGACTION)&def(WIN32)),
(!def(USE_LIBCANBERRA)&!def(HAVE_GTK_MAC)&!def(WIN32)),
def(USE_IPV6),
(def(LOOKUPD)&!def(USE_IPV6)),
(!def(USE_LIBPROXY)&!def(USE_SIGACTION)&def(USE_DBUS)),
def(GDK_WINDOWING_X11),
(def(LOOKUPD)&def(USE_IPV6)),
!def(USE_IPV6),
(!def(USE_LIBCANBERRA)&!def(HAVE_GTK_MAC)),
(!def(USE_LIBCANBERRA)&!def(HAVE_GTK_MAC)&def(__APPLE__)),
!def(USE_LIBPROXY),
(!def(USE_LIBPROXY)&!def(USE_SIGACTION)&!def(__EMX__)&!def(WIN32)),
(!def(USE_LIBCANBERRA)&!def(HAVE_GTK_MAC)&def(WIN32)),
(!def(USE_LIBPROXY)&!def(WIN32)),
(!def(USE_LIBPROXY)&def(USE_MSPROXY)),
