!def(HAVE_REALPATH),
def(HAVE_STRNDUP),
!def(HAVE_VASPRINTF),
!def(_WIN32),
def(HAVE_DIRENT_DNAMLEN),
!def(HAVE_DIRENT_DNAMLEN),
(def(HAVE_DIRENT_DTYPE)&!def(_WIN32)),
True,
!def(HAVE_STRNDUP),
def(_WIN32),
!def(HAVE_GETLINE),
def(USE_PCRE_JIT),
!def(HAVE_STRLCPY),
!def(HAVE_FGETLN),
(!def(_WIN32)&!def(HAVE_DIRENT_DTYPE)),
