!def(HAVE_GETLINE),
(!def(_WIN32)&!def(HAVE_DIRENT_DTYPE)),
!def(_WIN32),
!def(HAVE_STRNDUP),
!def(HAVE_VASPRINTF),
!def(HAVE_STRLCPY),
(def(HAVE_DIRENT_DTYPE)&!def(_WIN32)),
True,
def(HAVE_DIRENT_DNAMLEN),
def(USE_PCRE_JIT),
!def(HAVE_REALPATH),
def(_WIN32),
!def(HAVE_DIRENT_DNAMLEN),
!def(HAVE_FGETLN),
def(HAVE_STRNDUP),
