!def(HAVE_GETLINE),
(def(HAVE_DIRENT_DTYPE)&!def(_WIN32)),
!def(HAVE_STRLCPY),
def(HAVE_STRNDUP),
def(_WIN32),
!def(HAVE_DIRENT_DNAMLEN),
!def(HAVE_STRNDUP),
!def(HAVE_REALPATH),
True,
def(HAVE_DIRENT_DNAMLEN),
!def(HAVE_VASPRINTF),
!def(_WIN32),
(!def(_WIN32)&!def(HAVE_DIRENT_DTYPE)),
!def(HAVE_FGETLN),
def(USE_PCRE_JIT),
