!def(HAVE_VASPRINTF),
(def(HAVE_DIRENT_DTYPE)&!def(_WIN32)),
def(HAVE_PLEDGE),
!def(HAVE_GETLINE),
def(HAVE_DIRENT_DNAMLEN),
!def(HAVE_STRNDUP),
True,
!def(HAVE_DIRENT_DNAMLEN),
def(_WIN32),
!def(_WIN32),
def(HAVE_STRNDUP),
!def(HAVE_FGETLN),
(!def(_WIN32)&!def(HAVE_DIRENT_DTYPE)),
!def(HAVE_STRLCPY),
!def(HAVE_REALPATH),
def(USE_PCRE_JIT),
