!def(HAVE_VASPRINTF),
(!def(_WIN32)&!def(HAVE_DIRENT_DTYPE)),
!def(HAVE_REALPATH),
!def(HAVE_STRNDUP),
def(HAVE_DIRENT_DNAMLEN),
True,
def(_WIN32),
!def(HAVE_DIRENT_DNAMLEN),
!def(_WIN32),
!def(HAVE_STRLCPY),
!def(HAVE_GETLINE),
def(USE_PCRE_JIT),
!def(HAVE_FGETLN),
(def(HAVE_DIRENT_DTYPE)&!def(_WIN32)),
def(HAVE_STRNDUP),
