!def(HAVE_VASPRINTF),
!def(HAVE_DIRENT_DNAMLEN),
def(USE_PCRE_JIT),
def(HAVE_DIRENT_DNAMLEN),
def(_WIN32),
(def(HAVE_DIRENT_DTYPE)&!def(_WIN32)),
!def(HAVE_STRLCPY),
(!def(_WIN32)&!def(HAVE_DIRENT_DTYPE)),
True,
!def(HAVE_STRNDUP),
!def(HAVE_REALPATH),
!def(HAVE_FGETLN),
!def(_WIN32),
def(HAVE_STRNDUP),
!def(HAVE_GETLINE),
