!def(ASN_NULL),
(!def(HAVE_LIBKSTAT)&!def(HAVE_HTONLL)),
def(IPTC_DEBUG),
def(TEST),
!def(HAVE_LIBKSTAT),
def(IPTC_DEBUG2),
True,
!def(TEST),
def(ASN_NULL),
