!def(HAVE_LIBKSTAT),
def(ASN_NULL),
def(TEST),
def(IPTC_DEBUG),
True,
!def(ASN_NULL),
def(IPTC_DEBUG2),
!def(TEST),
(!def(HAVE_LIBKSTAT)&!def(HAVE_HTONLL)),
