!def(HAVE_LIBKSTAT),
!def(ASN_NULL),
(!def(HAVE_LIBKSTAT)&!def(HAVE_HTONLL)),
def(TEST),
def(IPTC_DEBUG),
!def(TEST),
def(IPTC_DEBUG2),
def(ASN_NULL),
True,
