def(TEST),
def(IPTC_DEBUG),
True,
!def(TEST),
!def(ASN_NULL),
(!def(HAVE_LIBKSTAT)&!def(HAVE_HTONLL)),
!def(HAVE_LIBKSTAT),
def(IPTC_DEBUG2),
def(ASN_NULL),
