def(KERNEL_LINUX),
def(IPTC_DEBUG),
def(TEST),
!def(ASN_NULL),
True,
def(IPTC_DEBUG2),
!def(TEST),
def(HAVE_LIBKSTAT),
def(ASN_NULL),
