!def(ASN_NULL),
!def(TEST),
!def(HAVE_LIBKSTAT),
def(ASN_NULL),
(!def(HAVE_LIBKSTAT)&!def(HAVE_HTONLL)),
def(IPTC_DEBUG2),
def(IPTC_DEBUG),
True,
def(TEST),
