!def(HAVE_LIBKSTAT),
(!def(HAVE_LIBKSTAT)&!def(HAVE_LIBRRD)),
(def(HAVE_LIBKSTAT)|def(HAVE_LIBRRD)),
True,
def(DLT_LOOP),
def(HAVE_LIBRRD),
def(DLT_RAW),
def(HAVE_IP6TC_HANDLE_T),
!def(HAVE_LIBRRD),
def(HAVE_VARNISH_V2),
def(__OpenBSD__),
!def(HAVE_IP6TC_HANDLE_T),
def(HAVE_IPTC_HANDLE_T),
(!def(HAVE_LIBKSTAT)&def(HAVE_LIBRRD)),
def(HAVE_LIBKSTAT),
!def(__OpenBSD__),
!def(HAVE_IPTC_HANDLE_T),
