!def(_WIN32),def(_WIN32)
False,True
True,!def(_WIN32)
!def(FASTEST),True
def(SIGHUP),True
True,def(SIGQUIT)
def(_WIN32),!def(_WIN32)
def(INFLATE_ALLOW_INVALID_DISTANCE_TOOFAR_ARRR),True
def(MAKEFIXED),True
(def(INFLATE_STRICT)&!def(ASMINF)),!def(ASMINF)
True,def(FASTEST)
def(_WIN32),True
True,!def(HAVE_GETOPT_LONG)
def(SIGQUIT),True
!def(_WIN32),True
True,!def(ASMINF)
(def(INFLATE_ALLOW_INVALID_DISTANCE_TOOFAR_ARRR)&!def(ASMINF)),!def(ASMINF)
!def(MAXSEG_64K),True
!def(ASMINF),True
(!def(FASTEST)&!def(ASMV)&def(UNALIGNED_OK)),True
True,(!def(FASTEST)&!def(ASMV)&def(UNALIGNED_OK))
True,def(_WIN32)
def(TEST_LOCKFILE),True
