def(STELLA_SUPPORT),
(!def(TEENSY_SUPPORT)&def(DNS_SUPPORT)),
(def(RC4_SUPPORT)&def(AUTH_SUPPORT)),
def(DATAFLASH_SUPPORT),
def(UDP_ECHO_NET_SUPPORT),
def(SKIPJACK_SUPPORT),
def(ECMD_USB_SUPPORT),
(def(MDNS_SD_SUPPORT)&!def(IPV6_SUPPORT)),
def(I2C_UDP_SUPPORT),
def(HD44780_SUPPORT),
def(ZBUS_RAW_SUPPORT),
def(ECMD_SENDER_SUPPORT),
(def(HC595_SUPPORT)&def(PORTIO_SUPPORT)),
def(PS2_SUPPORT),
def(UECMD_SENDER_SUPPORT),
def(PSOCK_SUPPORT),
def(MDNS_SD_SUPPORT),
(def(SKIPJACK_SUPPORT)&!def(ZBUS_RAW_SUPPORT)),
(!def(BOOTLOADER_SUPPORT)&def(OPENVPN_SUPPORT)),
def(TFTPOMATIC_SUPPORT),
(def(BOOTLOADER_SUPPORT)&def(OPENVPN_SUPPORT)),
def(TETRIRAPE_SUPPORT),
def(SYSLOG_SUPPORT),
def(I2C_MASTER_SUPPORT),
def(VFS_SUPPORT),
(!def(DEBUG_USE_SYSLOG)&def(DEBUG)&def(ECMD_PARSER_SUPPORT)),
def(BOOTP_SUPPORT),
def(RC4_SUPPORT),
(!def(BOOTP_SUPPORT)&def(DNS_SUPPORT)),
def(I2C_SLAVE_SUPPORT),
(def(NAMED_PIN_SUPPORT)&def(PORTIO_SUPPORT)),
def(VFS_SD_SUPPORT),
def(DYNDNS_SUPPORT),
!def(TEENSY_SUPPORT),
def(CLOCK_SUPPORT),
def(ECMD_SUPPORT),
def(NTP_SUPPORT),
def(USB_SUPPORT),
def(DEBUG_ENC28J60),
def(DNS_SUPPORT),
!def(BOOTLOADER_SUPPORT),
(!def(RFM12_RAW_SUPPORT)&def(SKIPJACK_SUPPORT)),
def(BOOTLOADER_SUPPORT),
(def(TFTPOMATIC_SUPPORT)&def(TFTP_SUPPORT)&!def(IPV6_SUPPORT)),
(def(HC165_SUPPORT)&def(PORTIO_SUPPORT)),
(!def(TEENSY_SUPPORT)&def(USART_SUPPORT)),
def(VFS_DC3840_SUPPORT),
def(YPORT_SUPPORT),
def(SPI_TIMEOUT),
def(NTPD_SUPPORT),
(def(RFM12_RAW_SUPPORT)&def(SKIPJACK_SUPPORT)),
!def(UIP_CONF_EXTERNAL_BUFFER),
(def(ROUTER_SUPPORT)&def(IP_FORWARDING_SUPPORT)),
(def(ECMD_USB_SUPPORT)&def(USB_SUPPORT)),
def(PORTIO_SUPPORT),
def(VFS_EEPROM_RAW_SUPPORT),
def(AUTH_SUPPORT),
True,
(def(ZBUS_RAW_SUPPORT)&def(SKIPJACK_SUPPORT)),
def(MODBUS_SUPPORT),
def(USB_NET_SUPPORT),
!def(HD44780_SUPPORT),
def(I2C_LM75_SUPPORT),
def(ECMD_SERIAL_I2C_SUPPORT),
def(TFTP_SUPPORT),
def(TEENSY_SUPPORT),
(def(USB_NET_SUPPORT)&def(USB_SUPPORT)),
(def(ZBUS_RAW_SUPPORT)&def(ROUTER_SUPPORT)),
def(RFM12_RAW_SUPPORT),
def(HC165_SUPPORT),
!def(UIP_ARCH_IPCHKSUM),
(def(IPV6_SUPPORT)&def(MDNS_SD_SUPPORT)),
def(ADC_SUPPORT),
def(KTY_SUPPORT),
def(VFS_DF_SUPPORT),
def(SENSOR_RFM12_SUPPORT),
(def(WHM_SUPPORT)&def(CLOCK_SUPPORT)),
(!def(DEBUG_USE_SYSLOG)&def(DEBUG)),
def(DCF77_SUPPORT),
def(HC595_SUPPORT),
def(UECMD_SUPPORT),
(def(UIP_MULTI_STACK)&def(USB_NET_SUPPORT)),
(def(BOOTLOADER_SUPPORT)&def(TFTP_SUPPORT)),
def(MODBUS_CLIENT_SUPPORT),
(def(FS20_RECV_PROFILE)&def(FS20_SUPPORT)),
def(I2C_24CXX_SUPPORT),
