def(MCUF_SPIRAL_SUPPORT),
def(EEPROM_SUPPORT),
def(MODBUS_CLIENT_SUPPORT),
(def(CONF_WATCHASYNC_TIMESTAMP)&!def(CONF_WATCHASYNC_SUMMARIZE)),
(def(CONF_WATCHASYNC_PB)&def(CONF_WATCHASYNC_EDGDETECTVIAPOLLING)),
def(PORTIO_SUPPORT),
def(DUAL_HBRIDGE_SUPPORT),
def(HD44780_MULTIENSUPPORT),
def(MCUF_SCROLLTEXT_SUPPORT),
def(STARBURST_PCA9685),
def(DC3840_BLACK_WHITE),
def(FS20_RECEIVE_SUPPORT),
(def(CONF_WATCHASYNC_PD)&((def(CONF_WATCHASYNC_PA)&!def(CONF_WATCHASYNC_EDGDETECTVIAPOLLING))|(def(CONF_WATCHASYNC_PB)&!def(CONF_WATCHASYNC_EDGDETECTVIAPOLLING))|((!def(CONF_WATCHASYNC_PB)|def(CONF_WATCHASYNC_EDGDETECTVIAPOLLING))&(!def(CONF_WATCHASYNC_PA)|def(CONF_WATCHASYNC_EDGDETECTVIAPOLLING))&def(CONF_WATCHASYNC_PC)&!def(CONF_WATCHASYNC_EDGDETECTVIAPOLLING)))&def(CONF_WATCHASYNC_PD0)&((def(CONF_WATCHASYNC_PC)&!def(CONF_WATCHASYNC_EDGDETECTVIAPOLLING))|(def(CONF_WATCHASYNC_PD)&!def(CONF_WATCHASYNC_EDGDETECTVIAPOLLING))|(def(CONF_WATCHASYNC_PB)&!def(CONF_WATCHASYNC_EDGDETECTVIAPOLLING))|(def(CONF_WATCHASYNC_PA)&!def(CONF_WATCHASYNC_EDGDETECTVIAPOLLING)))&!def(CONF_WATCHASYNC_EDGDETECTVIAPOLLING)),
def(DEBUG_ENC28J60),
def(I2C_GENERIC_SUPPORT),
def(I2C_DS1631_SUPPORT),
(def(RFM12_ASK_INTERTECHNO_SUPPORT)&def(RFM12_ASK_SENDER_SUPPORT)),
(!def(SOFT_UART_SUPPORT)&!def(DEBUG_USE_SYSLOG)),
