def(DATAFLASH_SUPPORT),
def(PS2_SUPPORT),
def(ECMD_USB_SUPPORT),
(def(UIP_MULTI_STACK)&def(USB_NET_SUPPORT)),
def(USB_SUPPORT),
(def(HC595_SUPPORT)&def(PORTIO_SUPPORT)),
def(I2C_SUPPORT),
def(ADC_SUPPORT),
def(MDNS_SD_SUPPORT),
def(TETRIRAPE_SUPPORT),
(def(RFM12_RAW_SUPPORT)&def(SKIPJACK_SUPPORT)),
(def(RC4_SUPPORT)&def(AUTH_SUPPORT)),
def(ECMD_SERIAL_I2C_SUPPORT),
(!def(BOOTLOADER_SUPPORT)&def(OPENVPN_SUPPORT)),
def(USB_NET_SUPPORT),
def(YPORT_SUPPORT),
def(DEBUG),
(def(TCP_SUPPORT)&def(ECMD_SENDER_SUPPORT)),
!def(BOOTLOADER_SUPPORT),
!def(UIP_CONF_EXTERNAL_BUFFER),
(def(ROUTER_SUPPORT)&def(IP_FORWARDING_SUPPORT)),
(!def(TEENSY_SUPPORT)&def(DNS_SUPPORT)),
def(UECMD_SUPPORT),
def(I2C_SLAVE_SUPPORT),
def(DEBUG_ENC28J60),
def(ZBUS_RAW_SUPPORT),
def(HD44780_SUPPORT),
def(PORTIO_SUPPORT),
def(MODBUS_CLIENT_SUPPORT),
def(BOOTLOADER_SUPPORT),
def(DCF77_SUPPORT),
def(MODBUS_SUPPORT),
def(TFTP_SUPPORT),
(def(ECMD_USB_SUPPORT)&def(USB_SUPPORT)),
def(AUTH_SUPPORT),
(def(TFTPOMATIC_SUPPORT)&def(TFTP_SUPPORT)&!def(IPV6_SUPPORT)),
!def(UIP_ARCH_IPCHKSUM),
(!def(RFM12_RAW_SUPPORT)&def(SKIPJACK_SUPPORT)),
def(NTP_SUPPORT),
(def(USB_NET_SUPPORT)&def(USB_SUPPORT)),
(!def(TEENSY_SUPPORT)&def(YPORT_SUPPORT)),
!def(HD44780_SUPPORT),
def(SENSOR_RFM12_SUPPORT),
def(DNS_SUPPORT),
def(RC4_SUPPORT),
def(CLOCK_SUPPORT),
(def(HC165_SUPPORT)&def(PORTIO_SUPPORT)),
(!def(BOOTP_SUPPORT)&def(DNS_SUPPORT)),
def(NTPD_SUPPORT),
(def(WHM_SUPPORT)&def(CLOCK_SUPPORT)),
def(SKIPJACK_SUPPORT),
def(ECMD_SUPPORT),
True,
(!def(TEENSY_SUPPORT)&def(USART_SUPPORT)),
def(SPI_TIMEOUT),
(def(BOOTLOADER_SUPPORT)&def(TFTP_SUPPORT)),
(def(NAMED_PIN_SUPPORT)&def(PORTIO_SUPPORT)),
(def(ECMD_SENDER_SUPPORT)&!def(TCP_SUPPORT)),
def(UDP_ECHO_NET_SUPPORT),
(def(BOOTLOADER_SUPPORT)&def(OPENVPN_SUPPORT)),
def(RFM12_RAW_SUPPORT),
(def(MDNS_SD_SUPPORT)&!def(IPV6_SUPPORT)),
def(TFTPOMATIC_SUPPORT),
def(PSOCK_SUPPORT),
def(BOOTP_SUPPORT),
!def(TEENSY_SUPPORT),
def(TEENSY_SUPPORT),
def(STELLA_SUPPORT),
(def(IPV6_SUPPORT)&def(MDNS_SD_SUPPORT)),
def(HC165_SUPPORT),
def(DYNDNS_SUPPORT),
def(HC595_SUPPORT),
(def(FS20_RECV_PROFILE)&def(FS20_SUPPORT)),
(def(TCP_SUPPORT)&def(ECMD_SENDER_SUPPORT)&(!def(ECMD_SENDER_SUPPORT)|def(TCP_SUPPORT))),
(!def(DEBUG_USE_SYSLOG)&def(DEBUG)),
def(SYSLOG_SUPPORT),
