def(MODBUS_SUPPORT),
def(HC165_SUPPORT),
True,
(def(UIP_MULTI_STACK)&def(USB_NET_SUPPORT)),
(def(RFM12_RAW_SUPPORT)&def(SKIPJACK_SUPPORT)),
def(YPORT_SUPPORT),
!def(UIP_ARCH_IPCHKSUM),
def(NTPD_SUPPORT),
def(AUTH_SUPPORT),
def(ECMD_USB_SUPPORT),
(def(ZBUS_RAW_SUPPORT)&def(ROUTER_SUPPORT)),
(def(MDNS_SD_SUPPORT)&!def(IPV6_SUPPORT)),
def(RC4_SUPPORT),
(!def(RFM12_RAW_SUPPORT)&def(SKIPJACK_SUPPORT)),
def(UDP_ECHO_NET_SUPPORT),
def(SYSLOG_SUPPORT),
def(TFTP_SUPPORT),
(def(SKIPJACK_SUPPORT)&!def(ZBUS_RAW_SUPPORT)),
(def(BOOTLOADER_SUPPORT)&def(OPENVPN_SUPPORT)),
def(VFS_DF_SUPPORT),
(!def(BOOTLOADER_SUPPORT)&def(OPENVPN_SUPPORT)),
(def(ROUTER_SUPPORT)&def(IP_FORWARDING_SUPPORT)),
def(DEBUG_ENC28J60),
def(MODBUS_CLIENT_SUPPORT),
(!def(TEENSY_SUPPORT)&def(DNS_SUPPORT)),
(def(ZBUS_RAW_SUPPORT)&def(SKIPJACK_SUPPORT)),
def(ECMD_SUPPORT),
(!def(TEENSY_SUPPORT)&def(USART_SUPPORT)),
(def(RC4_SUPPORT)&def(AUTH_SUPPORT)),
def(BOOTLOADER_SUPPORT),
!def(BOOTLOADER_SUPPORT),
(def(HC595_SUPPORT)&def(PORTIO_SUPPORT)),
def(USB_NET_SUPPORT),
(!def(DEBUG_USE_SYSLOG)&def(DEBUG)),
(def(IPV6_SUPPORT)&def(MDNS_SD_SUPPORT)),
def(HC595_SUPPORT),
!def(UIP_CONF_EXTERNAL_BUFFER),
(def(USB_NET_SUPPORT)&def(USB_SUPPORT)),
def(ECMD_SENDER_SUPPORT),
def(KTY_SUPPORT),
def(SPI_TIMEOUT),
def(I2C_SUPPORT),
def(NTP_SUPPORT),
def(I2C_SLAVE_SUPPORT),
(def(ECMD_USB_SUPPORT)&def(USB_SUPPORT)),
def(TEENSY_SUPPORT),
def(UECMD_SUPPORT),
def(DYNDNS_SUPPORT),
(def(WHM_SUPPORT)&def(CLOCK_SUPPORT)),
def(ADC_SUPPORT),
def(DNS_SUPPORT),
def(ECMD_SERIAL_I2C_SUPPORT),
!def(HD44780_SUPPORT),
def(DCF77_SUPPORT),
def(MDNS_SD_SUPPORT),
(def(NAMED_PIN_SUPPORT)&def(PORTIO_SUPPORT)),
def(RFM12_RAW_SUPPORT),
def(TETRIRAPE_SUPPORT),
def(PORTIO_SUPPORT),
def(VFS_SUPPORT),
!def(TEENSY_SUPPORT),
(!def(DEBUG_USE_SYSLOG)&def(DEBUG)&def(ECMD_PARSER_SUPPORT)),
(!def(BOOTP_SUPPORT)&def(DNS_SUPPORT)),
def(HD44780_SUPPORT),
def(BOOTP_SUPPORT),
def(VFS_SD_SUPPORT),
def(PSOCK_SUPPORT),
(def(TFTPOMATIC_SUPPORT)&def(TFTP_SUPPORT)&!def(IPV6_SUPPORT)),
def(STELLA_SUPPORT),
def(USB_SUPPORT),
def(TFTPOMATIC_SUPPORT),
(def(FS20_RECV_PROFILE)&def(FS20_SUPPORT)),
def(CLOCK_SUPPORT),
(def(BOOTLOADER_SUPPORT)&def(TFTP_SUPPORT)),
def(SKIPJACK_SUPPORT),
def(UECMD_SENDER_SUPPORT),
def(ZBUS_RAW_SUPPORT),
def(SENSOR_RFM12_SUPPORT),
def(PS2_SUPPORT),
def(DATAFLASH_SUPPORT),
(def(HC165_SUPPORT)&def(PORTIO_SUPPORT)),
