(def(USB_HID_KEYBOARD_STATIC_SUPPORT)&def(USB_KEYBOARD_SUPPORT)),def(USB_KEYBOARD_SUPPORT)
def(HTTPD_AUTH_SUPPORT),True
def(DEBUG),!def(DEBUG)
def(ECMD_PAM_SUPPORT),True
def(USB_KEYBOARD_SUPPORT),(def(USB_HID_KEYBOARD_STATIC_SUPPORT)&def(USB_KEYBOARD_SUPPORT))
def(PS2_SUPPORT),(def(USB_HID_KEYBOARD_STATIC_SUPPORT)&def(USB_KEYBOARD_SUPPORT))
True,!def(DISABLE_IPCONF_SUPPORT)
!def(DEBUG),def(DEBUG)
def(I2C_PCF8574X_SUPPORT),def(PS2_SUPPORT)
def(SD_PING_READ),True
True,!def(SOFT_SPI_SUPPORT)
!def(SOFT_SPI_SUPPORT),def(PS2_SUPPORT)
def(ECMD_SERIAL_USART_SUPPORT),True
(def(RFM12_ASK_SENSING_SUPPORT)&def(RFM12_ASK_EXTERNAL_FILTER_SUPPORT)),True
def(I2C_LM75_SUPPORT),True
def(DC3840_BLACK_WHITE),True
!def(CRON_DEFAULT_UTC),True
True,def(PWM_SERVO_SUPPORT)
(def(USB_HID_KEYBOARD_SEQUENCE_SUPPORT)&def(USB_KEYBOARD_SUPPORT)),(def(USB_HID_KEYBOARD_STATIC_SUPPORT)&def(USB_KEYBOARD_SUPPORT))
True,def(HD44780_MULTIENSUPPORT)
!def(HD44780_MULTIENSUPPORT),True
def(MDNS_SD_SUPPORT),def(ETHERNET_SUPPORT)
def(DEBUG),True
(def(RFM12_ASK_2272_SUPPORT)&def(RFM12_ASK_SENDER_SUPPORT)&def(TEENSY_SUPPORT)),(def(TEENSY_SUPPORT)&def(RFM12_ASK_SENDER_SUPPORT))
def(MCUF_SCROLLTEXT_SUPPORT),True
True,!def(MDNS_SD_SUPPORT)
(def(ZBUS_RAW_SUPPORT)&def(ROUTER_SUPPORT)),True
True,def(HTTPD_AUTH_SUPPORT)
def(ECMD_USB_SUPPORT),True
(def(RFM12_ASK_2272_SUPPORT)&def(RFM12_ASK_SENDER_SUPPORT)),(def(TEENSY_SUPPORT)&def(RFM12_ASK_SENDER_SUPPORT))
def(GLCDMENU_S1D13305),True
def(TEENSY_SUPPORT),True
def(MCUF_CLEAN_SUPPORT),True
def(HTTPD_SOAP_SUPPORT),True
def(LARGESCREEN),True
(def(ZBUS_RAW_SUPPORT)&def(ROUTER_SUPPORT)),def(ROUTER_SUPPORT)
True,def(DNS_SUPPORT)
True,!def(DEBUG_USE_SYSLOG)
def(ETHERNET_SUPPORT),!def(IPV6_STATIC_SUPPORT)
(def(USB_HID_KEYBOARD_SEQUENCE_SUPPORT)&def(USB_KEYBOARD_SUPPORT)),def(PS2_SUPPORT)
def(SRAM_MEMTEST_ON_BOOT),True
True,def(ETHERNET_SUPPORT)
def(ECMD_USB_SUPPORT),def(PS2_SUPPORT)
def(RFM12_DISABLE),True
True,def(MODBUS_CLIENT_SUPPORT)
True,def(USB_NET_SUPPORT)
True,def(MDNS_SD_SUPPORT)
!def(IPV6_SUPPORT),True
(def(USB_HID_KEYBOARD_ECMD_SUPPORT)&def(USB_KEYBOARD_SUPPORT)),def(PS2_SUPPORT)
True,def(GLCDMENU_S1D13305)
True,def(LARGESCREEN)
def(PS2_SUPPORT),def(USB_KEYBOARD_SUPPORT)
def(CRON_DEFAULT_UTC),True
def(MODBUS_CLIENT_SUPPORT),True
def(DISABLE_IPCONF_SUPPORT),True
def(I2C_PCA9531_SUPPORT),True
(!def(RFM12_DISABLE)&!def(TEENSY_SUPPORT)),(!def(TEENSY_SUPPORT)&!def(RFM12_IP_SUPPORT))
True,(def(ROUTER_SUPPORT)&def(USB_NET_SUPPORT))
True,def(VFS_PWM_WAV_SUPPORT)
def(USB_MOUSE_SUPPORT),def(USB_KEYBOARD_SUPPORT)
def(I2C_PCF8574X_SUPPORT),True
True,!def(IPV6_SUPPORT)
(((def(MCUF_SPIRAL_SUPPORT)&def(MCUF_MODUL_SUPPORT))|(def(MCUF_CLEAN_SUPPORT)&def(MCUF_MODUL_SUPPORT))|def(MCUF_MODUL_SUPPORT))&(!def(MCUF_MODUL_BORG16_SUPPORT)|!def(MCUF_MODUL_SUPPORT))&((def(MCUF_SPIRAL_SUPPORT)&def(MCUF_MODUL_SUPPORT))|(def(MCUF_CLEAN_SUPPORT)&def(MCUF_MODUL_SUPPORT)))&def(MCUF_MODUL_SUPPORT)&def(MCUF_SPIRAL_SUPPORT)&def(MCUF_CLEAN_SUPPORT)),(def(MCUF_SPIRAL_SUPPORT)&def(MCUF_MODUL_SUPPORT)&(!def(MCUF_CLEAN_SUPPORT)|!def(MCUF_MODUL_SUPPORT)))
!def(IPV6_STATIC_SUPPORT),def(ETHERNET_SUPPORT)
!def(TFTPOMATIC_SUPPORT),def(BOOTLOADER_SUPPORT)
def(USB_NET_SUPPORT),def(ROUTER_SUPPORT)
(def(ROUTER_SUPPORT)&def(IP_FORWARDING_SUPPORT)),def(ROUTER_SUPPORT)
def(LCD_DRAWBITMAP_USED),True
True,def(PS2_SUPPORT)
def(VFS_SUPPORT),def(HTTPD_AUTH_SUPPORT)
def(HTTP_SD_DIR_SUPPORT),True
!def(DEBUG_USE_SYSLOG),def(PS2_SUPPORT)
