!def(DMALLOC),def(DMALLOC)
def(ENABLE_DEBUG),!def(DMALLOC)
True,def(WIN32)
def(ENABLE_PERFORMANCE_METRICS),True
def(HAVE_GETTIMEOFDAY),def(WIN32)
def(ENABLE_SOCKS),!def(DMALLOC)
def(ENABLE_SOCKS),True
def(ENABLE_PERFORMANCE_METRICS),def(WIN32)
def(ENABLE_DEBUG),True
def(DMALLOC),!def(DMALLOC)
def(TIME_TEST),def(WIN32)
(!def(BUF_INIT_TRACKING)&!def(DMALLOC)),!def(DMALLOC)
True,def(ENABLE_DEBUG)
(!def(BUF_INIT_TRACKING)&def(CHARACTER_CLASS_DEBUG)),True
True,def(ENABLE_PERFORMANCE_METRICS)
True,!def(BUF_INIT_TRACKING)
def(DO_DAEMONIZE),True
def(PACKET_TRUNCATION_CHECK),True
(!def(BUF_INIT_TRACKING)&def(DMALLOC)),def(DMALLOC)
!def(BUF_INIT_TRACKING),!def(DMALLOC)
True,!def(DMALLOC)
