!def(BUF_INIT_TRACKING),!def(DMALLOC)
def(MANAGEMENT_DEF_AUTH),!def(DMALLOC)
def(ENABLE_EUREPHIA),True
(def(ENABLE_DEBUG)&def(MANAGEMENT_PF)),def(ENABLE_DEBUG)
def(ENABLE_DEF_AUTH),def(MANAGEMENT_DEF_AUTH)
def(HAVE_GETTIMEOFDAY),def(WIN32)
(!def(BUF_INIT_TRACKING)&!def(DMALLOC)),!def(DMALLOC)
(def(HAVE_SIGNAL_H)&!def(WIN32)),def(HAVE_SIGNAL_H)
def(ENABLE_PERFORMANCE_METRICS),def(WIN32)
def(ENABLE_DEF_AUTH),def(PLUGIN_DEF_AUTH)
def(MANAGEMENT_PF),True
def(ENABLE_DEBUG),True
def(DO_DAEMONIZE),True
def(PLUGIN_DEF_AUTH),!def(DMALLOC)
True,def(ENABLE_MANAGEMENT)
!def(HAVE_DIRNAME),True
def(DMALLOC),True
(!def(BUF_INIT_TRACKING)&def(CHARACTER_CLASS_DEBUG)),True
True,!def(DMALLOC)
True,!def(BUF_INIT_TRACKING)
!def(BUF_INIT_TRACKING),True
(def(ENABLE_DEBUG)&def(PLUGIN_PF)),True
!def(DMALLOC),True
True,def(ENABLE_PERFORMANCE_METRICS)
def(PLUGIN_PF),!def(DMALLOC)
def(WIN32),!def(WIN32)
def(ENABLE_MANAGEMENT),True
(def(ENABLE_DEBUG)&def(PLUGIN_PF)),def(ENABLE_DEBUG)
def(MANAGEMENT_DEF_AUTH),def(ENABLE_DEBUG)
!def(WIN32),True
True,def(ENABLE_DEBUG)
(!def(BUF_INIT_TRACKING)&def(DMALLOC)),def(DMALLOC)
(def(PLUGIN_DEF_AUTH)&def(ENABLE_DEF_AUTH)),def(PLUGIN_DEF_AUTH)
def(PACKET_TRUNCATION_CHECK),True
def(MANAGEMENT_DEF_AUTH),True
def(TIME_TEST),def(WIN32)
True,(def(HAVE_SIGNAL_H)&!def(WIN32))
def(ENABLE_DEF_AUTH),(def(PLUGIN_DEF_AUTH)&def(ENABLE_DEF_AUTH))
def(HAVE_SIGNAL_H),True
(def(MANAGEMENT_DEF_AUTH)&def(ENABLE_DEF_AUTH)),def(MANAGEMENT_DEF_AUTH)
!def(ENABLE_X509_TRACK),True
def(ENABLE_PERFORMANCE_METRICS),True
def(ENABLE_DEBUG),!def(DMALLOC)
def(PLUGIN_PF),True
def(ENABLE_EUREPHIA),!def(BUF_INIT_TRACKING)
def(ENABLE_X509_TRACK),True
def(HAVE_SIGNAL_H),(def(HAVE_SIGNAL_H)&!def(WIN32))
def(ENABLE_DEF_AUTH),(def(MANAGEMENT_DEF_AUTH)&def(ENABLE_DEF_AUTH))
True,def(WIN32)
