(!def(BUF_INIT_TRACKING)&def(DMALLOC)),def(DMALLOC)
def(HAVE_SIGNAL_H),True
True,def(HAVE_GETPASS)
(!def(BUF_INIT_TRACKING)&def(CHARACTER_CLASS_DEBUG)),True
def(DO_DAEMONIZE),True
def(USE_PAM_DLOPEN),True
def(MANAGEMENT_DEF_AUTH),True
def(DMALLOC),True
True,def(ENABLE_PLUGIN)
True,(def(ENABLE_DEBUG)&def(PLUGIN_PF))
!def(_WIN32),True
!def(ENABLE_DEF_AUTH),True
def(ENABLE_DEBUG),True
!def(HAVE_DIRNAME),True
True,def(ENABLE_SYSTEMD)
!def(ENABLE_IPROUTE),True
def(MANAGEMENT_DEF_AUTH),def(ENABLE_DEBUG)
def(PACKET_TRUNCATION_CHECK),True
(def(MANAGEMENT_DEF_AUTH)&def(ENABLE_DEF_AUTH)),def(MANAGEMENT_DEF_AUTH)
def(ENABLE_SYSTEMD),True
(def(PLUGIN_DEF_AUTH)&def(ENABLE_DEF_AUTH)),def(PLUGIN_DEF_AUTH)
!def(ENABLE_X509_TRACK),True
def(ENABLE_PLUGIN),True
def(USE_PAM_DLOPEN),def(ENABLE_DEBUG)
True,(!def(ENABLE_SMALL)&def(ENABLE_PLUGIN))
def(PLUGIN_PF),!def(DMALLOC)
True,def(ENABLE_MANAGEMENT)
def(ENABLE_DEF_AUTH),(def(MANAGEMENT_DEF_AUTH)&def(ENABLE_DEF_AUTH))
def(ENABLE_MANAGEMENT),True
def(HAVE_SIGNAL_H),(def(HAVE_SIGNAL_H)&!def(_WIN32))
True,(def(HAVE_SIGNAL_H)&!def(_WIN32))
def(ENABLE_PKCS11),True
True,def(ENABLE_DEBUG)
def(WIN32),True
def(SHAPER_DEBUG),True
(def(ENABLE_DEBUG)&def(MANAGEMENT_PF)),def(ENABLE_DEBUG)
(!def(BUF_INIT_TRACKING)&def(VERIFY_ALIGNMENT)),True
True,(!def(HAVE_GETTIMEOFDAY)&!def(_WIN32))
(!def(BUF_INIT_TRACKING)&!def(DMALLOC)),!def(DMALLOC)
def(ENABLE_DEF_AUTH),def(PLUGIN_DEF_AUTH)
(def(ENABLE_DEBUG)&def(PLUGIN_PF)),def(ENABLE_DEBUG)
def(ENABLE_X509_TRACK),True
def(MANAGEMENT_DEF_AUTH),!def(DMALLOC)
def(ENABLE_IPROUTE),True
True,!def(DMALLOC)
(def(HAVE_SIGNAL_H)&!def(_WIN32)),def(HAVE_SIGNAL_H)
def(ENABLE_EUREPHIA),True
!def(DMALLOC),True
def(TIME_TEST),True
def(PLUGIN_DEF_AUTH),!def(DMALLOC)
(def(_WIN32)&!def(HAVE_GETTIMEOFDAY)&(def(HAVE_GETTIMEOFDAY)|def(_WIN32))),(def(_WIN32)&!def(HAVE_GETTIMEOFDAY))
True,def(ENABLE_PERFORMANCE_METRICS)
(def(ENABLE_DEBUG)&def(PLUGIN_PF)),True
True,!def(BUF_INIT_TRACKING)
!def(BUF_INIT_TRACKING),!def(DMALLOC)
def(MANAGEMENT_PF),True
def(ENABLE_PERFORMANCE_METRICS),(!def(HAVE_GETTIMEOFDAY)&!def(_WIN32))
def(PLUGIN_PF),True
True,def(USE_PAM_DLOPEN)
def(TIME_TEST),(!def(HAVE_GETTIMEOFDAY)&!def(_WIN32))
(def(SYSTEMD_NEWER_THAN_216)&def(ENABLE_SYSTEMD)),True
def(ENABLE_DEF_AUTH),True
def(ENABLE_DEBUG),!def(DMALLOC)
True,def(_WIN32)
def(ENABLE_DEF_AUTH),(def(PLUGIN_DEF_AUTH)&def(ENABLE_DEF_AUTH))
(!def(HAVE_GETTIMEOFDAY)&!def(_WIN32)),(def(_WIN32)&!def(HAVE_GETTIMEOFDAY)&(def(HAVE_GETTIMEOFDAY)|def(_WIN32)))
def(_WIN32),True
def(ENABLE_PLUGIN),!def(DMALLOC)
def(ENABLE_DEF_AUTH),def(MANAGEMENT_DEF_AUTH)
def(ENABLE_PERFORMANCE_METRICS),True
(!def(ENABLE_SMALL)&def(ENABLE_PLUGIN)),True
