(def(HAVE_SIGNAL_H)&!def(WIN32)),def(HAVE_SIGNAL_H)
def(ENABLE_PERFORMANCE_METRICS),True
(def(ENABLE_DEBUG)&def(PLUGIN_PF)),def(ENABLE_DEBUG)
!def(WIN32),True
def(ENABLE_DEBUG),True
def(MANAGEMENT_DEF_AUTH),def(ENABLE_DEBUG)
!def(BUF_INIT_TRACKING),!def(DMALLOC)
def(DMALLOC),True
(!def(BUF_INIT_TRACKING)&def(DMALLOC)),def(DMALLOC)
True,def(WIN32)
True,def(ENABLE_MANAGEMENT)
def(HAVE_SIGNAL_H),True
def(ENABLE_DEF_AUTH),def(PLUGIN_DEF_AUTH)
def(ENABLE_SYSTEMD),True
!def(DMALLOC),True
def(MANAGEMENT_PF),True
(def(PLUGIN_DEF_AUTH)&def(ENABLE_DEF_AUTH)),def(PLUGIN_DEF_AUTH)
(!def(BUF_INIT_TRACKING)&def(CHARACTER_CLASS_DEBUG)),True
!def(ENABLE_DEF_AUTH),True
True,def(ENABLE_DEBUG)
def(HAVE_SIGNAL_H),(def(HAVE_SIGNAL_H)&!def(WIN32))
!def(HAVE_DIRNAME),True
def(PLUGIN_PF),!def(DMALLOC)
True,!def(DMALLOC)
def(ENABLE_X509_TRACK),True
def(WIN32),True
(def(ENABLE_DEBUG)&def(PLUGIN_PF)),True
def(ENABLE_DEF_AUTH),True
def(TIME_TEST),True
def(ENABLE_PKCS11),True
def(ENABLE_DEF_AUTH),def(MANAGEMENT_DEF_AUTH)
True,(def(HAVE_SIGNAL_H)&!def(WIN32))
(def(SHAPER_DEBUG)&def(HAVE_GETTIMEOFDAY)),True
def(ENABLE_DEF_AUTH),(def(PLUGIN_DEF_AUTH)&def(ENABLE_DEF_AUTH))
True,def(ENABLE_SYSTEMD)
def(DO_DAEMONIZE),True
True,def(ENABLE_PERFORMANCE_METRICS)
def(PACKET_TRUNCATION_CHECK),True
def(HAVE_GETTIMEOFDAY),True
def(HAVE_GETTIMEOFDAY),def(WIN32)
def(ENABLE_DEF_AUTH),(def(MANAGEMENT_DEF_AUTH)&def(ENABLE_DEF_AUTH))
def(WIN32),!def(WIN32)
def(MANAGEMENT_DEF_AUTH),!def(DMALLOC)
def(TIME_TEST),def(WIN32)
def(ENABLE_MANAGEMENT),True
True,def(HAVE_GETTIMEOFDAY)
def(ENABLE_EUREPHIA),True
def(MANAGEMENT_DEF_AUTH),True
def(ENABLE_PERFORMANCE_METRICS),def(WIN32)
(def(ENABLE_DEBUG)&def(MANAGEMENT_PF)),def(ENABLE_DEBUG)
def(PLUGIN_DEF_AUTH),!def(DMALLOC)
(!def(BUF_INIT_TRACKING)&def(VERIFY_ALIGNMENT)),True
def(PLUGIN_PF),True
True,!def(BUF_INIT_TRACKING)
True,(def(ENABLE_DEBUG)&def(PLUGIN_PF))
def(ENABLE_DEBUG),!def(DMALLOC)
!def(ENABLE_X509_TRACK),True
(def(SYSTEMD_NEWER_THAN_216)&def(ENABLE_SYSTEMD)),True
(def(MANAGEMENT_DEF_AUTH)&def(ENABLE_DEF_AUTH)),def(MANAGEMENT_DEF_AUTH)
(!def(BUF_INIT_TRACKING)&!def(DMALLOC)),!def(DMALLOC)
