(!def(BUF_INIT_TRACKING)&def(DMALLOC)),def(DMALLOC)
def(ENABLE_PLUGIN),!def(DMALLOC)
True,def(ENABLE_MANAGEMENT)
True,def(USE_PAM_DLOPEN)
def(ENABLE_PERFORMANCE_METRICS),True
def(SHAPER_DEBUG),True
def(MANAGEMENT_PF),True
!def(DMALLOC),True
def(ENABLE_DEF_AUTH),True
def(ENABLE_DEBUG),True
(!def(BUF_INIT_TRACKING)&def(CHARACTER_CLASS_DEBUG)),True
def(PLUGIN_PF),True
(!def(BUF_INIT_TRACKING)&!def(DMALLOC)),!def(DMALLOC)
(def(ENABLE_DEBUG)&def(MANAGEMENT_PF)),def(ENABLE_DEBUG)
def(ENABLE_SYSTEMD),True
(def(_WIN32)&!def(HAVE_GETTIMEOFDAY)&(def(HAVE_GETTIMEOFDAY)|def(_WIN32))),(def(_WIN32)&!def(HAVE_GETTIMEOFDAY))
def(ENABLE_DEF_AUTH),(def(PLUGIN_DEF_AUTH)&def(ENABLE_DEF_AUTH))
def(ENABLE_PKCS11),True
(def(ENABLE_DEBUG)&def(PLUGIN_PF)),def(ENABLE_DEBUG)
True,def(ENABLE_SYSTEMD)
True,!def(BUF_INIT_TRACKING)
True,(!def(HAVE_GETTIMEOFDAY)&!def(_WIN32))
def(DMALLOC),True
def(ENABLE_MANAGEMENT),True
True,def(ENABLE_DEBUG)
True,def(ENABLE_PLUGIN)
True,def(ENABLE_PERFORMANCE_METRICS)
def(WIN32),True
!def(BUF_INIT_TRACKING),!def(DMALLOC)
def(MANAGEMENT_DEF_AUTH),!def(DMALLOC)
def(ENABLE_IPROUTE),True
(!def(ENABLE_SMALL)&def(ENABLE_PLUGIN)),True
def(ENABLE_DEF_AUTH),def(PLUGIN_DEF_AUTH)
(def(MANAGEMENT_DEF_AUTH)&def(ENABLE_DEF_AUTH)),def(MANAGEMENT_DEF_AUTH)
!def(HAVE_DIRNAME),True
def(PLUGIN_PF),!def(DMALLOC)
def(ENABLE_PERFORMANCE_METRICS),(!def(HAVE_GETTIMEOFDAY)&!def(_WIN32))
def(ENABLE_X509_TRACK),True
!def(ENABLE_X509_TRACK),True
(!def(BUF_INIT_TRACKING)&def(VERIFY_ALIGNMENT)),True
True,def(HAVE_GETPASS)
(def(PLUGIN_DEF_AUTH)&def(ENABLE_DEF_AUTH)),def(PLUGIN_DEF_AUTH)
(!def(HAVE_GETTIMEOFDAY)&!def(_WIN32)),(def(_WIN32)&!def(HAVE_GETTIMEOFDAY)&(def(HAVE_GETTIMEOFDAY)|def(_WIN32)))
!def(ENABLE_IPROUTE),True
def(ENABLE_EUREPHIA),True
!def(ENABLE_DEF_AUTH),True
def(TIME_TEST),(!def(HAVE_GETTIMEOFDAY)&!def(_WIN32))
def(USE_PAM_DLOPEN),True
def(MANAGEMENT_DEF_AUTH),def(ENABLE_DEBUG)
def(ENABLE_DEBUG),!def(DMALLOC)
def(ENABLE_DEF_AUTH),def(MANAGEMENT_DEF_AUTH)
def(TIME_TEST),True
def(PLUGIN_DEF_AUTH),!def(DMALLOC)
def(ENABLE_DEF_AUTH),(def(MANAGEMENT_DEF_AUTH)&def(ENABLE_DEF_AUTH))
def(PACKET_TRUNCATION_CHECK),True
True,!def(DMALLOC)
True,(def(HAVE_SIGNAL_H)&!def(_WIN32))
True,(def(ENABLE_DEBUG)&def(PLUGIN_PF))
def(USE_PAM_DLOPEN),def(ENABLE_DEBUG)
def(HAVE_SIGNAL_H),(def(HAVE_SIGNAL_H)&!def(_WIN32))
(def(ENABLE_DEBUG)&def(PLUGIN_PF)),True
True,(!def(ENABLE_SMALL)&def(ENABLE_PLUGIN))
def(HAVE_SIGNAL_H),True
True,def(_WIN32)
def(_WIN32),True
!def(_WIN32),True
def(MANAGEMENT_DEF_AUTH),True
(def(HAVE_SIGNAL_H)&!def(_WIN32)),def(HAVE_SIGNAL_H)
def(DO_DAEMONIZE),True
def(ENABLE_PLUGIN),True
(def(SYSTEMD_NEWER_THAN_216)&def(ENABLE_SYSTEMD)),True
