!def(DMALLOC),def(DMALLOC)
(!def(BUF_INIT_TRACKING)&def(DMALLOC)),def(DMALLOC)
(!def(BUF_INIT_TRACKING)&def(CHARACTER_CLASS_DEBUG)),True
True,def(ENABLE_PERFORMANCE_METRICS)
def(ENABLE_PERFORMANCE_METRICS),True
def(DO_DAEMONIZE),True
def(DMALLOC),!def(DMALLOC)
def(ENABLE_SOCKS),!def(DMALLOC)
True,!def(DMALLOC)
def(ENABLE_DEBUG),!def(DMALLOC)
def(ENABLE_SOCKS),True
def(PACKET_TRUNCATION_CHECK),True
True,def(ENABLE_DEBUG)
True,!def(BUF_INIT_TRACKING)
(!def(BUF_INIT_TRACKING)&!def(DMALLOC)),!def(DMALLOC)
def(ENABLE_DEBUG),True
!def(BUF_INIT_TRACKING),!def(DMALLOC)
def(HAVE_GETTIMEOFDAY),def(WIN32)
True,def(WIN32)
def(TIME_TEST),def(WIN32)
def(ENABLE_PERFORMANCE_METRICS),def(WIN32)
