!def(BUF_INIT_TRACKING),!def(DMALLOC)
def(DMALLOC),!def(DMALLOC)
def(ENABLE_SOCKS),True
def(MANAGEMENT_PF),True
def(ENABLE_PERFORMANCE_METRICS),True
(!def(BUF_INIT_TRACKING)&def(CHARACTER_CLASS_DEBUG)),True
def(HAVE_GETTIMEOFDAY),def(WIN32)
(def(ENABLE_DEBUG)&def(MANAGEMENT_PF)),(def(ENABLE_DEBUG)&def(PLUGIN_PF))
(!def(BUF_INIT_TRACKING)&def(DMALLOC)),def(DMALLOC)
def(ENABLE_PERFORMANCE_METRICS),def(WIN32)
!def(DMALLOC),def(DMALLOC)
def(DO_DAEMONIZE),True
def(PACKET_TRUNCATION_CHECK),True
def(PLUGIN_PF),True
True,!def(DMALLOC)
def(ENABLE_SOCKS),!def(DMALLOC)
True,!def(BUF_INIT_TRACKING)
def(ENABLE_DEBUG),!def(DMALLOC)
True,def(ENABLE_DEBUG)
(def(ENABLE_DEBUG)&def(PLUGIN_PF)),True
True,def(DO_DAEMONIZE)
def(ENABLE_DEBUG),True
def(TIME_TEST),def(WIN32)
def(PLUGIN_PF),!def(DMALLOC)
True,def(WIN32)
(!def(BUF_INIT_TRACKING)&!def(DMALLOC)),!def(DMALLOC)
True,def(ENABLE_PERFORMANCE_METRICS)
