def(UWSGI_PASTE),uwsgi_paste_loader,parameter,Function,4
True,uwsgi_concat3,exclusion,Function,4
True,add_exported_option,additon,Function,4
True,uwsgi_swap16,additon,Function,4
True,wsgi_req,exclusion,Variable,4
def(UWSGI_EMBEDDED),uwsgi,additon,Variable,4
