True,def(HTTPD_AUTH_SUPPORT)
def(RFM12_ASK_2272_SUPPORT),(def(RFM12_ASK_2272_SUPPORT)&def(TEENSY_SUPPORT))
def(VFS_SD_SUPPORT),True
