def(SNMP_SUPPORT),True
def(ADC_SUPPORT),def(SNMP_SUPPORT)
def(RFM12_ASK_2272_SUPPORT),(def(RFM12_ASK_2272_SUPPORT)&def(TEENSY_SUPPORT))
