def(RFM12_ASK_2272_SUPPORT),(def(RFM12_ASK_2272_SUPPORT)&def(TEENSY_SUPPORT))
def(DHT_TEMP_ECMD_SUPPORT),True
(def(DHT_LIST_WITH_VALUES_CMD_SUPPORT)&def(DHT_LIST_ECMD_SUPPORT)),True
def(DHT_HUMID_ECMD_SUPPORT),True
def(DHT_LIST_ECMD_SUPPORT),True
