!def(INET_SOCKETS),def(_WIN32)
(def(USE_NB_ERRORHANDLER)&def(NBDEBUG)),def(NBDEBUG)
def(WSDEBUG_TRACE),def(WSDEBUG)
def(WSDEBUG),(def(USE_WS_ERRORHANDLER)&def(WSDEBUG))
def(INET_SOCKETS),def(_WIN32)
True,def(WSDEBUG)
!def(INET_SOCKETS),True
def(WIN32),True
def(NBDEBUG),True
(def(USE_WS_ERRORHANDLER)&def(WSDEBUG)),def(WSDEBUG)
True,def(WSDEBUG_SENSE)
def(FEAT_SUN_WORKSHOP),def(FEAT_BEVAL)
def(INET_SOCKETS),True
True,def(WSDEBUG_TRACE)
def(WSDEBUG),True
!def(INET_SOCKETS),def(INET_SOCKETS)
def(WSDEBUG_SENSE),True
True,def(WIN32)
True,def(_WIN32)
def(WSDEBUG_SENSE),def(WSDEBUG)
def(FEAT_BEVAL),True
def(NBDEBUG),def(WSDEBUG)
def(NBDEBUG),(def(USE_NB_ERRORHANDLER)&def(NBDEBUG))
def(MAIN),True
def(WSDEBUG_TRACE),True
