!def(EBCDIC),def(FEAT_MBYTE)
True,def(NBDEBUG)
!def(RISCOS),True
True,(!def(FEAT_BEVAL)&def(WSDEBUG_TRACE))
def(RISCOS),True
def(INET_SOCKETS),True
!def(NO_CONSOLE),True
!def(FEAT_MBYTE),def(FEAT_MBYTE)
(!def(FEAT_BEVAL)&def(WSDEBUG)),True
(!def(FEAT_BEVAL)&def(WSDEBUG_SENSE)),True
def(FEAT_MBYTE),True
def(EBCDIC),def(FEAT_MBYTE)
def(FEAT_FKMAP),True
True,def(RISCOS)
True,def(FEAT_MBYTE)
(!def(FEAT_BEVAL)&def(WSDEBUG_TRACE)),True
True,(!def(FEAT_BEVAL)&def(WSDEBUG))
True,!def(RISCOS)
True,def(FEAT_FKMAP)
!def(INET_SOCKETS),True
def(FEAT_GUI),True
!def(INET_SOCKETS),def(INET_SOCKETS)
True,def(WSDEBUG)
True,!def(FEAT_BEVAL)
!def(FEAT_MBYTE),True
!def(FEAT_BEVAL),True
def(FEAT_FKMAP),def(FEAT_MBYTE)
