!def(FEAT_MBYTE),def(FEAT_MBYTE)
True,def(WSDEBUG)
!def(NO_CONSOLE),True
True,(!def(FEAT_BEVAL)&def(WSDEBUG))
True,!def(FEAT_BEVAL)
!def(INET_SOCKETS),def(INET_SOCKETS)
def(EBCDIC),True
!def(RISCOS),True
True,def(FEAT_MBYTE)
True,!def(FEAT_MBYTE)
!def(INET_SOCKETS),True
def(FEAT_GUI),True
True,(!def(FEAT_BEVAL)&def(WSDEBUG_TRACE))
!def(EBCDIC),True
True,def(NBDEBUG)
!def(FEAT_MBYTE),True
def(FEAT_MBYTE),True
(!def(FEAT_BEVAL)&def(WSDEBUG_TRACE)),True
def(FEAT_FKMAP),True
!def(FEAT_BEVAL),True
True,!def(RISCOS)
True,def(FEAT_FKMAP)
True,def(RISCOS)
(!def(FEAT_BEVAL)&def(WSDEBUG_SENSE)),True
(!def(FEAT_BEVAL)&def(WSDEBUG)),True
def(INET_SOCKETS),True
def(RISCOS),True
