def(FEAT_SUN_WORKSHOP),def(FEAT_BEVAL)
def(FEAT_BEVAL),True
def(INET_SOCKETS),def(_WIN32)
def(WSDEBUG),True
def(MAIN),True
True,def(WIN32)
!def(INET_SOCKETS),def(INET_SOCKETS)
(def(USE_WS_ERRORHANDLER)&def(WSDEBUG)),def(WSDEBUG)
def(WIN32),True
def(WSDEBUG_SENSE),True
!def(INET_SOCKETS),def(_WIN32)
def(NBDEBUG),def(WSDEBUG)
def(NBDEBUG),(def(USE_NB_ERRORHANDLER)&def(NBDEBUG))
True,def(WSDEBUG_SENSE)
def(WSDEBUG_TRACE),True
def(INET_SOCKETS),True
def(NBDEBUG),True
True,def(WSDEBUG_TRACE)
!def(INET_SOCKETS),True
def(WSDEBUG_TRACE),def(WSDEBUG)
True,def(WSDEBUG)
(def(USE_NB_ERRORHANDLER)&def(NBDEBUG)),def(NBDEBUG)
def(WSDEBUG),(def(USE_WS_ERRORHANDLER)&def(WSDEBUG))
True,def(_WIN32)
def(WSDEBUG_SENSE),def(WSDEBUG)
