def(FEAT_SUN_WORKSHOP),def(FEAT_BEVAL)
def(INET_SOCKETS),True
!def(INET_SOCKETS),def(INET_SOCKETS)
def(WSDEBUG_TRACE),True
def(WIN32),True
def(WSDEBUG_SENSE),True
True,def(WIN32)
def(FEAT_BEVAL),True
!def(INET_SOCKETS),True
True,def(WSDEBUG_TRACE)
!def(NO_CONSOLE),True
def(MAIN),True
True,def(NBDEBUG)
True,def(WSDEBUG)
def(FEAT_GUI),True
def(WSDEBUG),True
def(NBDEBUG),(def(USE_NB_ERRORHANDLER)&def(NBDEBUG))
def(INET_SOCKETS),def(_WIN32)
def(WSDEBUG),True
True,def(WIN32)
True,def(WSDEBUG)
!def(INET_SOCKETS),True
True,def(_WIN32)
!def(INET_SOCKETS),def(INET_SOCKETS)
def(NBDEBUG),def(WSDEBUG)
def(MAIN),True
(def(USE_WS_ERRORHANDLER)&def(WSDEBUG)),def(WSDEBUG)
def(WIN32),True
def(NBDEBUG),True
def(INET_SOCKETS),True
(def(USE_NB_ERRORHANDLER)&def(NBDEBUG)),def(NBDEBUG)
!def(INET_SOCKETS),def(_WIN32)
def(WSDEBUG),(def(USE_WS_ERRORHANDLER)&def(WSDEBUG))
